QUALITY OUTSOURCE SOLUTION,,,,,,,,SNO,,,,,
2/4/2026,PO38461237,NVS-008485351,7,10880,CENTRAL FRUIT AND VEG,,,91,20,Paid,,,
2/4/2026,PO38566948,NVS-008497551,3,5497.5,NAKURU WESTSIDE,,,99,21,PAID,,,
2/7/2026,PO38927775,NVS-008556289,1,2090,NAIVASHA NDOGO,,1948,1,25,PAID,,,
2/7/2026,PO38922256,NVS-008550654,1,800,NAIVASHA KUBWA,,QOT/1947,6,26,Paid ,,,
2/7/2026,PO38830844,NVS-008550622,2,2281,NAIVASHA KUBWA,,1946/QUS,6,27,Paid,,,
2/11/2026,PO39105073,NVS-008565518,1,1955,SUPERSTORE,,2056,19,28,Paid,,,
2/11/2026,PO38933926,NVS-008564897,3,5901,NAIVAS WESTSIDE,,,99,29,,,,
2/11/2026,PO3899438,NVS-008564007,4,1930,NAKURU MIDTOWN,,,,30,,,,
2/15/2026,PO5162945B,NVS-008519305,2,1389,NAIVASHA NDOGO,,,1,32,,,,
2/15/2026,PO13960324,NVS-008593888,4,6398,SAFARI CENTRE NAIVASHA,,,110,35,,,,
2/18/2026,P039160324,NVS-008593888,184,7637,NAIVAS WESTSIDE,,,99,36,paid,,,
2/18/2026,PO39294607,NVS-008609639,4,1530,NAKURU MIDTOWN,,,,38,paid,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Mar-26,,,,,,,,,,,,
3/1/2026,PO39870235,NVS-008657685,6,6065,NAKURU WESTSIDE,,1813,99,47,,,,
3/1/2026,PO39659776,NVS-008640834,190,3015,SAFARI CENTER NAIVASHA ,,2063,110,48,paid,,,
3/1/2026,PO39277206,NVS-008604232,189,3769,SAFARI CENTER NAIVASHA ,,2060Q,110,49,paid,,,
3/1/2026,P039141554,NVS-008580611,6,2360,Naivasha kubwa ,,2058,6,50,Paid,,,
3/1/2026,PO38937195,NVS-008553596,188,7379,SAFARI CENTER NAIVASHA ,,1945,110,51,paid,,,
3/1/2026,PO39876315,NVS-008657853,5,2375,NAIVASHA NDOGO,,2066,1,53,paid,,,
3/1/2026,PO39870947,NVS-008657807,7,2077,NAIVASHA KUBWA,,2067,6,54,,,,
3/1/2026,PO38937195,NVS-008658746,190,4349,SAFARI CENTER NAIVASHA ,,2065Q,110,55,,,,
3/1/2026,PO39971290 ,NVS-008682902,6,2344,Naivasha NDOGO ,,2069,1,56,,,,
3/1/2026,PO38937195,NVS-008682236,6,2765,NAIVASHA KUBWA,,2068,6,57,,,,
3/1/2026,PO38937195,NVS-008657658,7,6331,NAKURU WESTSIDE ,,1813,99,58,paid,,,
3/1/2026,PO39206515,NVS-008590042,6,224,NAIVASHA NDOGO,,224,1,60,paid,,,
3/1/2026,PO39864068,NVS-008658746,191,4249,SAFARI CENTER NAIVASHA ,,2065Q,110,61,paid,,,
3/5/2026,PO38937195,NVS-008701194,192,4761,SAFARI CENTER NAIVASHA ,,2070Q,110,62,,,,
3/5/2026,PO38937195,NVS-008700931,6,2460,NAIVASHA KUBWA,,2071,6,63,,,,
3/6/2026,PO40243773NVS-008712311,,7,5335,NAKURU WESTSIDE ,,2155,99,64,,,,
3/6/2026,P040321206,NVS-008721979,6,2970,NAIVASHA KUBWA,,10,6,65,,,,
3/11/2026,PO40577360,NVS-008739069,7,4391,NAIVASHA KUBWA,,11,6,66,,,,
3/11/2026,PO40532633,NVS-008740386,195,5650,SAFARI CENTER NAIVASHA ,,2074QOS,110,67,,,,
3/11/2026,PO40351616,NVS-008738049,194,5666,SAFARI CENTER NAIVASHA ,,2072Q,110,68,,,,
3/11/2026,PO40603675,NVS-008740467,193,15450,SAFARI CENTER NAIVASHA ,,2076,110,69,,,,
3/11/2026,P040577360,NVS-008738069,11,3491,NAIVASHA KUBWA,,2073,6,70,,,,
3/17/2026,PO406172027,NVS-008754124,2,2469,Naivas Superstore,,2162,19,71,,,,
3/17/2026,PO40688779,NVS-008766345,12,3073,NAIVASHA KUBWA,,2078,6,72,,,,
3/17/2026,PO40707598,NVS-008766625,196,13196,SAFARI CENTER NAIVASHA,,2077,110,73,,,,
3/20/2026,PO040710840,NVS-008778881,2,1595,Naivas Superstore,,2164,19,74,,,,
3/20/2026,PO-40927489,NVS-008795765,7,2081,Naivasha kubwa ,,2081,6,75,,,,
3/20/2026,PO-40927489,NVS-008794309,197,8000,SAFARI CENTER NAIVASHA ,,2080,110,76,,,,
3/24/2026,PO40243772,NVS-008712311,10,5335,Naivas Westside ,,Q,99,77,,,,
3/24/2026,PO40350082,NVS-008726466,9,3665,Naivas Westside ,,2159,99,78,,,,
3/24/2026,PO40709574,NVS-008777683,8,3348,Naivas Westside ,,2163,99,79,,,,
3/24/2026,PO-41064862,NVS-008814240,11,5785,Naivas Westside ,,2161,99,80,,,,
3/24/2026,PO41045758,NVS-008810340,198,8058,SAFARI CENTER NAIVASHA ,,2082,110,81,,,,
3/24/2026,PO41045239,NVS-008806868,14,3697,SAFARI CENTER NAIVASHA ,,Q,6,82,,,,
3/24/2026,PO40613799,NVS-008750352,199,320,SAFARI CENTER NAIVASHA ,,2075Q,110,83,,,,
3/27/2026,PO41310619,NVS-008844577,1,2430,Naivas Superstore,,2167,19,84,,,,
3/27/2026,PO41278202,NVS-008843700,15,1145,NAIVASHA KUBWA,,15,6,85,,,,
3/27/2026,P041346070,NVS-008845866,198,5805,SAFARI CENTER NAIVASHA ,,2085A,110,86,,,,
3/29/2026,PO-40927489,NVS-008857941,16,3045,NAIVASHA KUBWA,,2089,16,87,,,,
3/29/2026,PO-41378674,NVS-008857853,201,3939,SAFARI CENTER NAIVASHA ,,2088,110,88,,,,
3/30/2026,PO-41412674,NVS-008862405,13,4189,Naivas Westside ,,1599,13,89,,,,
3/30/2026,P0-041413924,NVS-008865652,5,1935,Naivas Superstore,,1598,19,90,,,,
,,,,,,,,,,,,,
April,,,,,,,,,,,,,
4/8/2026,PO42045910,NVS-000026725,6,2065,NAIVASHA KUBWA,,2065,6,91,,,,
4/8/2026,PO42045999NVS,NVS-000026652,6,5000,NAIVASHA KUBWA,,2096,6,92,,,,
4/8/2026,PO42046053,NVS-000029326,110,7330,SAFARI CENTER NAIVASHA,,2094q,110,93,,,,
